Safal Realtors & Developers Private Limited,1051,27AABCS8998R1Z1,AABCS8998R,"10-A,Room No.1, 3Rd Floor, Chaman Chambers,, Cinema Lane, Marine Lines, Mumbai,, Maharashtra, 400020","10-A,Room No.1, 3Rd Floor, Chaman Chambers,, Cinema Lane, Marine Lines, Mumbai,, Maharashtra, 400020",998314,Maharashtra
Krishna Vision,1340,27AARFK7005J1ZZ,AARFK7005J,"H No 04, New Bazaar, Near Pmt Bus Stop, Khadki, Pune, Pune","H No 04, New Bazaar, Near Pmt Bus Stop, Khadki, Pune, Pune",998314,Maharashtra
Mali Infra,1025,27ABLFM7751L1ZK,ABLFM7751L,"Shop No8, Kasturi Kunj, Tukaram Chowk,, Dawdi, Dombivli, Thane,, Maharashtra, 421201","Shop No8, Kasturi Kunj, Tukaram Chowk,, Dawdi, Dombivli, Thane,, Maharashtra, 421201",998314,Maharashtra
Lokhandwala Kataria Constructions Private Limited,1029,27AAACL5105A1Z7,AAACL5105A,"72, GANDHI NAGAR,DAINIK SHIVNER, ROAD, WORLI, Mumbai, Maharashtra, 400018","72, GANDHI NAGAR,DAINIK SHIVNER, ROAD, WORLI, Mumbai, Maharashtra, 400018",998314,Maharashtra
Trustworthy Properties,835,Unregistered,BUCPK2336Q,"No 215/1, 1St Floor 1St Main Rd, Subhash Nagar, Tc Palya Signal Bhattaralli Bangalore 560049","No 215/1, 1St Floor 1St Main Rd, Subhash Nagar, Tc Palya Signal Bhattaralli Bangalore 560049",998314,Karnataka
Rashi Developers,1276,27AAUFR9625A1ZU,AAUFR9625A,"72 A, 7, Mittal Tower, Nariman Point,, Mumbai, Mumbai, Maharashtra, 400021","72 A, 7, Mittal Tower, Nariman Point,, Mumbai, Mumbai, Maharashtra, 400021",998314,Maharashtra
2Getherments Infra Private Limited,1300,29AACCL6220G1ZN,AACCL6220G,"Katha No.866, SY No 73/1, 73/2A, 73/3, New No 866,, Hoodi Main Road, Hoodi Village, K R Puram Hobli,, Bengaluru, Bengaluru (Bangalore) Rural,, Karnataka, 560001.","Katha No.866, SY No 73/1, 73/2A, 73/3, New No 866,, Hoodi Main Road, Hoodi Village, K R Puram Hobli,, Bengaluru, Bengaluru (Bangalore) Rural,, Karnataka, 560001.",998314,Karnataka
S V Housing Private Limited,1174,06AAKCS0536J1ZA,AAKCS0536J,"Plot No.-130, Ground Floor, Sector-44,, Institutional Area, Gurugram,, Haryana, 122002","Plot No.-130, Ground Floor, Sector-44,, Institutional Area, Gurugram,, Haryana, 122002",998314,Haryana
Aaiji Developers,1350,27AAOFA2448J1Z7,AAOFA2448J,"A-7, Kasturba Society, Sunand Appt, Alandi Road, Vishrantwadi, Pune, Maharashtra, 411015","A-7, Kasturba Society, Sunand Appt, Alandi Road, Vishrantwadi, Pune, Maharashtra, 411015",998314,Maharashtra
Amol Salunke,681,Unregistered,AQUPS7518P,"204,Siddhi Manora,Near Dr.Desai Hospital,
, Agashi Road,Virar West.","204,Siddhi Manora,Near Dr.Desai Hospital,
, Agashi Road,Virar West.",998314,Maharashtra
Acres Developer,1252,27ABTFA9047R1ZB,ABTFA9047R,"G-2, Ground Floor, Anuradha Bldg, Manek Nagar,, Chandavarkar Road, Mumbai,, Mumbai Suburban, Maharashtra,, 400092.","G-2, Ground Floor, Anuradha Bldg, Manek Nagar,, Chandavarkar Road, Mumbai,, Mumbai Suburban, Maharashtra,, 400092.",998314,Maharashtra
Adishesh Projects,989,Unregistered,AAYFA2171L,"No.697,First floor,, 12th cross,27th main, Sector 1,HSR Layout,, Bangalore-560102","No.697,First floor,, 12th cross,27th main, Sector 1,HSR Layout,, Bangalore-560102",998314,Karnataka
