Story Id,Story Name,Marked on Panel,RERA Number,
68, Mahindra Alcove,None,P51800028352,
49, Runwal Bliss,None,P51800001296,
49, Runwal Bliss,None,P51800001477,
49, Runwal Bliss,None,P51800001670,
49, Runwal Bliss,None,P51800001903,
49, Runwal Bliss,None,P51800005684,
49, Runwal Bliss,None,P51800032824,
49, Runwal Bliss,None,P51800035134,
268,10 BIZ PARK - Viman Nagar,None,P51800003590,
817,107 Southeast - Near E City,None,PRM/KA/RERA/1251/308/PR/140222/004708,
44,18 CASITA,None,A51900000277,
44,18 CASITA,None,PRM/KA/RERA/1251/309/AG/220521/002898,
109,19 North - Kandivali West,None,P51800026243,
1051,22 Dhuleva - Parel ,None,P51900005991,
635,36 Allure Infra - Goregaon West,None,P51800032348,
342,4 Taljai Hills - Dhankawadi,None,P52100027103,
342,4 Taljai Hills - Dhankawadi,None,P5210002908,
238,53 West - Andheri West,None,P51800031057,
748,66 Avenue - Pimpri Chinchwad,None,P52100021457,
103,71 Midtown - Chembur East,None,P51800028761,
555,72 corp - Kurla West,None,P51800021663,
82,73 East - Kandivali West,None,P51800015343,
1174,83 Metrostreet - Sector 83,None,337 OF 2017,
447,9 North - Govandi East,None,A51900011245,
518,95 West - Malad West,None,P51800032841,
910,96 Tagore - Santacruz West,None,P51900034416,
15,99 Riverfront,None,A52100000018,
149,Aadhayay - Andheri West,None,P51800020623,
345,Aagman Residency - Mulund West,None,P51800021266,
580,Aakar Deep - Ghatkopar East,None,P51800030542,
681,Aaradhya Appartment - Virar East		,None,P99000021484,
1014,Aarcon - Punawale,None,P52100030862,
1041,Aarra Springs - Sarjapura EXT Chikkatirupathi,None,PRM/KA/RERA/1265/347/PR/170824/000020,
604,Aashray Aanand Phase- II - Ambernath East,None,P51700026268,
896,Aashrayaa Ecocity - Hoskote,None,PRM/KA/RERA/1250/304/PR/180130/001424,
461,Aayush Aarna - Chembur,None,P51800027442,
462,Aayush Gulmohar  - Chembur,None,P51800031880,
1116,Abhigna Misty Woods - JP Nagar ,None,PRM/KA/RERA/1251/309/PR/200827/003574,
891,Absolute Collection - Andheri East,None,P51800032286,
615,Ace Courtyard - Thane West,None,P51700033813,
1102,Acropolis - Kalewadi ,None,P52100004298,
877,Address 51 - Bandra East,None,P51900035076,
989,Adisesh Boulevard - Whitefield,None,PRM/KA/RERA/1265/339/PR/210130/003806,
917,Aditya plaza - Malad West,None,P51800002793,
906,Adityaraj Enclave - Ghatkopar East,None,P51800024475,
492,Agami Sapphire - Boisar East,None,P99000020242,
1121,Ahad Serenity - Hosa Road,None,PRM/KA/RERA/1251/308/PR/210219/003913,
626,Airoli Tower - Airoli,None,P51700006609,
723,Aishwaryam Hamara - Chikhali,None,P52100006348,
486,Ajmera Manhattan - Wadala East,None,P51800032948,
689,Aksha Ambar - Moshi,None,P52100032442,
749,Aksha Elegance - Chikhali,None,P52100012491,
704,Aksha Swapnalok - Moshi,None,P52100011375,
713,Aksha Vrundavan - Moshi,None,P52100011335,
577,Allure - Ravet,None,P52100029341,
712,Allure One - KR Puram,None,PRM/KA/RERA/1251/446/PR/200323/003377,
738,Allure-II - Ravet,None,P52100034241,
1256,Aloha - Palghar West,None,P99000046448,
613,AL-ZASSZ BLISS - Manyata Tach Park,None,PRM/KA/RERA/1251/309/PR/200205/003239,
716,Amantra - Kalyan,None,P51700000308,
284,Amaryllis Towers and Plaza,None,P51800028801,
556,Ambar - Shukrawar Peth,None,P52100017441,
610,Ambe Smruti - Rasayani,None,P52000027236,
637,Amber One - Thakurli East				,None,P51700027251,
980,"Ambience Downtown - Cooke Town, Banaswadi Road",None,PRM/KA/RERA/1251/446/PR/191107/002995,
509,Ambika Brickwell LLP - Bhiwandi,None,P51700008966,
1410,Ambrosia Alley - Hadapsar,None,P51200026792,
352,Ambrosia Galaxy - Baner,None,P52100027363,
472,Amora - Pimple Nilakh,None,P52100028677,
642,Amorapolis - Dhanori,None,P52100030009,
359,Amore - Andheri West,None,P51800023615,
687,Amore Edge - Khar West,None,P51800033249,
686,Amore Edge - Khar West,None,P51800033249,
743,Amulyam - Panvel,None,P52000034022,
88,Anandam - Bhayander West,None,P51700017515,
476,Anant Residency - Panvel,None,P52000028314,
1061,Ananta Pride - Badlapur West ,None,P51700029977,
499,Anchor Residency - Ghatkopar West,None,P5180001059,
493,AND Forever City - Diva East,None,P51700019146,
1099,Anika Redwood Homes - Nagarabhavi Main Road,None,PRM/KA/RERA/1251/310/PR/190108/002281,
1013,ANP Landmark - Wakad,None,P51800028243,
558,Antaliea Homes - Kogilu Layout,None,PRM/KA/RERA/1251/309/PR/190829/002839,
466,Antariksh Avalon - Ghatkopar East,None,P51800030439,
439,Aplite Green Stone Heritage - Fort,None,P51900002372,
439,Aplite Green Stone Heritage - Fort,None,P51900008300,
967,Apna Ghar - Mira Bhayandar,None,P51700045206,
892,Aqura Pride - Vadgaon Budruk,None,P52100031863,
97,Aradhya Eastwind  - Vikhroli East,None,P51800020183,
656,Arham Aum - Matunga East,None,P51800002719,
655,Arham Brindavan - Chembur East,None,P51800004177,
112,Ariha Signature - Goregaon West,None,P51800027852,
275,Arihant Advika - Vashi,None,P51700028950,
271,Arihant Aloki,None,P52000024460,
271,Arihant Aloki,None,P52000025041,
272,Arihant Aloki - Karjat East,None,P52000024460,
270,Arihant Amisha,None,P52000029991,
273,Arihant Anmol	 - Badlapur East,None,P51700027339,
274,Arihant Arshiya - Khopoli			,None,P52000003422,
931,Arihant Aspire - Panvel,None,P52000014107,
972,Aristocrat's Avenue - Goregaon West,None,P51800034503,
256,ARMAAN LOTUS - Nalasopara East,None,P99000027113,
568,Arv Royale - Hadapsar Handewadi Road,None,P52100016845,
574,ARV Uthville,None,P52100030680,
575,ARV Uthville - Kharadi,None,P52100030680,
346,Arya & Ira - Kalyan West,None,P51700026854,
139,Aryavarta - Andheri East,None,P51900002676,
824,Ashish Green B- Block - Varthur,None,PRM/KA/RERA/1251/308/PR/191206/003053,
898,Ashish Narayana Row House - Whitefield,None,PRM/KA/RERA/1251/446/PR/130422/004835,
721,Ashtha Heights - Goregaon West,None,P51800001546,
1031,Asset Arcadia - Off Sarjapura,None,PRM/KA/RERA/1251/308/PR/180319/001197,
440,Astrum - Malad East,None,P51800029353,
423,Athena  - Goregaon West,None,P51800003330,
648,Atmos & Aura - Hobli,None,PRM/KA/RERA/1251/309/PR/210416/004127,
1073,Atul Westernhills - Baner,None,P52100019366,
94,Atulya,None,P52100000169,
93,Atulya,None,P52100000169,
95,Atulya - Kanhe - Talegaon,None,P52100000200,
95,Atulya - Kanhe - Talegaon,None,P52100000202,
95,Atulya - Kanhe - Talegaon,None,P52100000203,
95,Atulya - Kanhe - Talegaon,None,P52100000205,
95,Atulya - Kanhe - Talegaon,None,P52100000169,
473,Auralis - The Twins - Thane,None,P51700009177,
269,Aureta - Koregaon Park,None,P52100030375,
598,Aurigae Residency - Kandivali East			,None,P51800019096,
154,Avana - Parel,None,P51900000793,
159,Avanya - Dahisar East,None,P51800003202,
847,Avron V - Chembur East,None,P51800024892,
606,Balaji Heights - Rasayani		,None,P51700000083,
808,Balaji Vivanta - Kalyan Murbad Road,None,P51700029805,
617,Basil Mondale - Mundhwa,None,P52100033136,
367,Bay View - Mazgaon West,None,P51900006866,
107,Baya Nucleus - Lower Parel,None,P51900021103,
1314,Bayvue - MarineLines East ,None,P51900003287,
677,Belantara - Rasayani,None,P51800002373,
677,Belantara - Rasayani,None,P51800003012,
677,Belantara - Rasayani,None,P51800004432,
137,Bellezza of Shanti Sadan - Mulund East,None,P51800013076,
