id,uuid,name,developer_name,city,published,sv_rewards_enabled,created_at,Youtube Link,
,8d805c40-6c03-11e9-9665-67946de0a90d,Lodha Belmondo,Lodha Group,Pune,,Inactive,1 May 2019,,
,f7287b1e-6c94-11e9-82a7-737f4bce2094,Gagan Klara,Gagan Developers,Pune,,Inactive,2 May 2019,,
,6ecf7228-6c93-11e9-929c-8ff2f5c1591d,Rohan Ananta,Rohan Builders,Pune,,Inactive,2 May 2019,,
,10dcec72-6c8e-11e9-bc28-2fcb1445eb13,Godrej Central Park,Godrej Properties,Pune,,Inactive,2 May 2019,,
,4d6635b0-6c8c-11e9-a608-8f6b7946633b,Lodha Belmondo,Lodha Group,Pune,,Inactive,2 May 2019,,
,6e19c55e-7274-11e9-bf4c-9f20d28bd563,Gagan Klara,Gagan Developers,Pune,,Inactive,9 May 2019,,
,6191a284-7274-11e9-a0f9-4b4f5402ebdc,Rohan Ananta,Rohan Builders,Pune,,Inactive,9 May 2019,,
,b3cf4cf0-7273-11e9-a0f1-37c9f28b6e2f,Lodha Belmondo,Lodha Group,Pune,,Inactive,9 May 2019,,
,64d1f690-7c49-11e9-8cb1-e71e3c79f6bf,Gagan Klara,Gagan Developers,Pune,,Inactive,22 May 2019,,
,5d2549ba-7c49-11e9-b819-473bbde1d52b,Rohan Ananta,Rohan Builders,Pune,,Inactive,22 May 2019,,
,55645a22-7c49-11e9-bd72-cfefced4161c,Godrej Central Park,Godrej Properties,Pune,,Inactive,22 May 2019,,
,4ae8e860-7c49-11e9-82ed-cf07ae9ec8be,Lodha Belmondo,Lodha Group,Pune,,Inactive,22 May 2019,,
,74d46a16-7d32-11e9-baa3-1bc272e47879,Park Connect,Pride Purple,Pune,,Inactive,23 May 2019,,
,b1cdfe6e-7e45-11e9-931c-1f57bb14dcda,99 Riverfront,Mantra,Pune,,Inactive,24 May 2019,,
,2e1cff06-7e1e-11e9-8416-9fac0f981429,99 Riverfront,Mantra,Pune,,Inactive,24 May 2019,,
,93e3da64-7f02-11e9-bc46-1fe3aed65a1b,Exquisite,Kalpataru,Pune,,Inactive,25 May 2019,,
,09e819cc-a470-11e9-9f15-b3c7e4866ab2,Godrej Nurture,Godrej Properties,Pune,,Inactive,12 Jul 2019,,
,77c6a110-a958-11e9-8758-1f0ab2739b2b,LIFE 360,NAMRATA GROUP,Pune,,Inactive,18 Jul 2019,,
,98caf63c-aaba-11e9-9ff7-d7164812e09e,Purvankara Bavdhan,Puravankara,Pune,,Inactive,20 Jul 2019,,
,ea984caa-bb34-11e9-bfd8-b36160a4faad,You57 - Hinjewadi Phase - 3,SRS GROUP,Pune,,Inactive,10 Aug 2019,,
,a7c4209e-cbcd-11e9-918e-0f793e620a53,Godrej Hillside,Godrej Properties,Pune,,Inactive,31 Aug 2019,,
,7ffabaa0-cf1f-11e9-a72e-b78391187ba1,Gagan Klara,Gagan Developers,Pune,,Inactive,4 Sep 2019,,
,f4119634-d311-11e9-ac26-e72f7d62d423,You57,SRS GROUP,Pune,,Inactive,9 Sep 2019,,
,bcba4ad8-d306-11e9-be8d-6348dad99937,You57,SRS GROUP,Pune,,Inactive,9 Sep 2019,,
,3fa99574-d33a-11e9-a868-4f6fa698db19,You57 - Hinjewadi Phase - 3,SRS GROUP,Pune,,Inactive,10 Sep 2019,,
,b65c689e-d336-11e9-a863-87d19edb8b93,You57-test,SRS GROUP,Pune,,Inactive,10 Sep 2019,,
,34746432-d334-11e9-88c0-efff528d4cad,You57-test,SRS GROUP,Pune,,Inactive,10 Sep 2019,,
,57d263ac-db8b-11e9-897a-13da078d9284,You57 - Hinjewadi Phase 3,SRS GROUP,Pune,,Inactive,20 Sep 2019,,
,57c6c078-ea6e-11e9-b0f7-d7ea8ad0892c,Kanakia Pixel,Kanakia,,,Inactive,9 Oct 2019,,
,b6d8a3b6-f0cb-11e9-b322-b7826b144d64,Mahindra Vicino,Mahindra Lifespaces,Mumbai,,Inactive,17 Oct 2019,,
,513b268c-f355-11e9-8d32-e38314b03760,Vicinia Powai,Shapoorji Pallonji,Mumbai,,Inactive,20 Oct 2019,,
,7d6fa8a6-f58d-11e9-8faa-6bda5bcb7004,Vicinia Powai,Shapoorji Pallonji,Mumbai,,Inactive,23 Oct 2019,,
