Story Transactions Id,Legal Entity ID
3220,1618
3219,1297
3218,1299
3217,1140
3209,1619
3208,1680
3205,1276
3204,1276
3203,1421
3200,1389
3199,1646
3198,1582
3197,1558
3196,64
3195,64
3194,1780
3193,1407
3192,1568
3191,1461
3190,1319
3189,12
3188,1459
3184,667
3183,1617
3177,1270
3175,1417
3174,1070
3173,1140
3172,1004
3171,61
3170,61
3169,61
3165,1457
3164,1339
3162,1339
3161,1339
3160,1303
3159,1303
3158,1303
3151,1515
3150,1279
3149,1375
3148,1305
3147,1769
3134,1183
3132,1184
3124,1775
3121,1653
3120,845
3125,1775
3119,1775
3118,1413
3117,1599
3114,337
3111,1450
3146,607
3108,607
3137,1149
3102,607
3145,607
3101,606
3144,1149
3100,606
3142,1149
3099,607
3138,1149
3098,607
3096,41
3095,1733
3094,1393
3093,968
3092,1608
3091,1734
3090,987
3089,1688
3088,308
3087,175
3086,1371
3085,1633
3084,1765
3083,892
3082,1075
3081,1716
3080,1369
3079,1280
3078,1451
3075,1347
3076,1314
3077,898
3074,1509
3073,447
3071,1368
3065,1294
3064,1774
3060,1033
3136,1149
3109,607
3107,607
3058,607
3055,1373
3051,1594
3050,1643
3049,1422
3047,891
3046,1097
3045,1097
3044,889
3043,889
3042,889
3041,1336
3040,1547
3039,1681
3038,1015
3037,1602
3036,978
3034,1399
2740,1080
2739,1532
2738,1474
2737,1414
2736,1112
2735,1153
2734,1115
2733,1267
2732,963
2731,1315
3048,1486
2547,1729
2524,1164
2473,1595
2472,1694
2471,1739
2470,1345
2419,783
3202,783
2418,783
2413,1497
2412,618
2411,1274
2410,1078
2409,1152
2408,967
2407,1042
2406,1185
2405,1185
2404,1142
2403,984
2402,1016
3254,1016
2401,1150
2397,513
2395,674
2394,1160
2393,872
2392,1132
2386,611
2385,1178
2384,1073
2379,1789
2378,1384
2364,1036
2363,1036
2362,1036
2359,1628
2360,1093
2361,1166
2357,1030
2355,1003
2354,1065
2353,1010
2351,810
2350,1585
2349,1087
2348,1500
2342,1657
2356,1158
2341,996
2340,1070
2339,1166
2338,1645
2337,1091
2336,1354
2333,1133
2313,507
2310,1167
2377,940
2309,1090
2308,1116
2307,1053
2306,1013
2305,1101
2304,612
2303,1099
2302,1567
2301,1063
2300,1177
2299,1470
2298,1017
2297,1735
2296,1405
2295,1405
2294,1018
2293,1024
2292,1024
2291,713
2290,1140
2288,1140
3122,1157
2287,1157
3123,1157
2286,1157
2285,1398
2284,204
2283,1019
2281,1175
2273,1059
2272,1001
2271,1007
2265,762
2381,1045
2266,1045
2263,1081
2259,1170
2257,1446
2256,1103
2255,230
2246,1022
2380,1045
2245,1045
2244,1642
2243,1768
2242,793
2240,1627
2235,963
2236,1251
2237,1054
2238,1054
2232,1056
2239,1162
2227,1089
2226,969
2311,1161
2223,1161
2222,1000
2231,633
2221,969
2225,1145
2220,1423
3213,1056
3210,1056
2219,1056
2218,1148
2217,1148
2216,1148
2215,1148
2214,943
2213,1035
2212,1169
2211,1010
2205,1124
2206,121
2204,1102
2202,1095
2210,1672
2201,1009
2224,937
2200,937
2382,704
2203,704
2195,1076
2196,1005
2189,1584
2188,1054
2186,1760
2185,91
2181,1121
2179,1168
2178,496
2180,1745
2177,1662
2184,1745
2094,259
2092,95
2091,1128
2090,871
2039,850
2038,1179
2037,1066
2036,1463
3053,1074
2035,1034
1923,982
1827,1117
1793,1062
1828,426
