Story Transaction Id,Top Up Dropdown,Edited Remarks
2335,Others,30K Transferred from Lotus Crown
2334,Others,30K Transferred to Runwal Nirvana
2332,Top Up from Developer,Based on Sanjay's approval
2331,Others,Adjustment
2330,Others,Adjustment
2329,Others,Adjustment
2328,Others,Adjustment
2327,Others,Adjustment
2326,Others,Adjustment
2325,Others,Adjustment
2324,Others,Adjustment
2323,Others,Adjustment
2322,Others,Adjustment
2321,Others,Adjustment
2320,Others,Adjustment
2319,Others,Adjustment
2318,Others,Adjustment
2317,Others,Adjustment
2316,Others,Adjustment
2315,Others,Adjustment
2289,Others,1L Transferred to Signora
2282,Top Up from Developer,Based on Sanjay's approval
2280,Others,Reversal
2279,Others,Reversal
2278,Others,Reversal
2278,Others,Reversal
2277,Others,Reversal
2277,Others,Reversal
2276,First Wallet Recharge,
2276,First Wallet Recharge,
2275,First Wallet Recharge,
2275,First Wallet Recharge,
2274,First Wallet Recharge,
2273,First Wallet Recharge,
2272,First Wallet Recharge,
2271,First Wallet Recharge,
2270,First Wallet Recharge,
2269,First Wallet Recharge,
2268,First Wallet Recharge,
2267,First Wallet Recharge,
2266,First Wallet Recharge,
2265,First Wallet Recharge,
2264,First Wallet Recharge,
2263,First Wallet Recharge,
2262,First Wallet Recharge,
2261,First Wallet Recharge,
2260,First Wallet Recharge,
2259,First Wallet Recharge,
2258,First Wallet Recharge,
2257,First Wallet Recharge,
2256,First Wallet Recharge,
2255,First Wallet Recharge,
2254,First Wallet Recharge,
2253,First Wallet Recharge,
2252,First Wallet Recharge,
2251,First Wallet Recharge,
2250,First Wallet Recharge,
2249,First Wallet Recharge,
2248,First Wallet Recharge,
2247,First Wallet Recharge,
2246,Others,Rectified
2245,First Wallet Recharge,
2244,First Wallet Recharge,
2243,First Wallet Recharge,
2242,First Wallet Recharge,
2241,First Wallet Recharge,
2240,First Wallet Recharge,
2239,First Wallet Recharge,
2238,First Wallet Recharge,
2237,First Wallet Recharge,
2236,First Wallet Recharge,
2235,First Wallet Recharge,
2234,First Wallet Recharge,
2233,First Wallet Recharge,
2232,First Wallet Recharge,
2231,First Wallet Recharge,
2230,First Wallet Recharge,
2229,First Wallet Recharge,
2228,First Wallet Recharge,
2227,First Wallet Recharge,
2226,First Wallet Recharge,
2225,First Wallet Recharge,
2224,First Wallet Recharge,
2223,First Wallet Recharge,
2222,First Wallet Recharge,
2221,First Wallet Recharge,
2220,First Wallet Recharge,
2219,First Wallet Recharge,
2218,First Wallet Recharge,
2217,First Wallet Recharge,
2216,First Wallet Recharge,
2215,First Wallet Recharge,
2214,First Wallet Recharge,
2213,First Wallet Recharge,
2212,First Wallet Recharge,
2211,First Wallet Recharge,
2210,First Wallet Recharge,
2209,First Wallet Recharge,
2208,First Wallet Recharge,
2207,First Wallet Recharge,
2206,First Wallet Recharge,
2205,First Wallet Recharge,
2204,First Wallet Recharge,
2203,First Wallet Recharge,
2202,First Wallet Recharge,
2201,First Wallet Recharge,
2200,First Wallet Recharge,
2199,First Wallet Recharge,
2198,First Wallet Recharge,
2197,First Wallet Recharge,
2196,First Wallet Recharge,
2195,First Wallet Recharge,
2194,First Wallet Recharge,
2193,First Wallet Recharge,
2192,First Wallet Recharge,
2191,First Wallet Recharge,
2190,Others,50K Transferred from SGK
2189,First Wallet Recharge,
2188,First Wallet Recharge,
2187,Others,50K Transferred to Signum Plaza
2186,First Wallet Recharge,
2185,First Wallet Recharge,
2184,First Wallet Recharge,
2183,Others,Recharged based on approval
2182,First Wallet Recharge,
2181,First Wallet Recharge,
2180,First Wallet Recharge,
2179,Others,1L Transferred from Vrindhavan
2178,Others,Recharged based on approval
2177,First Wallet Recharge,
2176,First Wallet Recharge,
2175,Others,Recharged based on approval
2174,First Wallet Recharge,
2173,First Wallet Recharge,
2172,First Wallet Recharge,
2171,First Wallet Recharge,
2170,First Wallet Recharge,
2169,Others,Recharged based on approval
2168,First Wallet Recharge,
2167,First Wallet Recharge,
2166,Others,Recharged based on approval
2165,Others,Recharged based on approval
2164,First Wallet Recharge,
2163,Others,Recharged based on approval
2162,First Wallet Recharge,
2161,First Wallet Recharge,
2160,First Wallet Recharge,
2159,First Wallet Recharge,
2158,First Wallet Recharge,
2157,Others,Recharged based on approval
2156,First Wallet Recharge,
2155,Others,Recharged based on approval
2154,First Wallet Recharge,
2153,First Wallet Recharge,
2152,First Wallet Recharge,
2151,Others,Recharged based on approval
2150,First Wallet Recharge,
2149,First Wallet Recharge,
2148,Others,Recharged based on approval
2147,Others,Recharged based on approval
2146,First Wallet Recharge,
2145,First Wallet Recharge,
2144,First Wallet Recharge,
2143,First Wallet Recharge,
2142,First Wallet Recharge,
2141,First Wallet Recharge,
2140,First Wallet Recharge,
2139,First Wallet Recharge,
2138,First Wallet Recharge,
2137,First Wallet Recharge,
2136,First Wallet Recharge,
2135,First Wallet Recharge,
2134,Others,Recharged based on approval
2133,First Wallet Recharge,
2132,First Wallet Recharge,
2131,First Wallet Recharge,
2130,First Wallet Recharge,
2129,First Wallet Recharge,
2128,Others,Recharged based on approval
2127,First Wallet Recharge,
2126,Others,Recharged based on approval
2125,First Wallet Recharge,
2124,Others,Recharged based on approval
2123,First Wallet Recharge,
2122,Others,Recharged based on approval
2121,First Wallet Recharge,
2120,Others,Recharged based on approval
2119,First Wallet Recharge,
2118,Others,Recharged based on approval
2117,First Wallet Recharge,
2116,First Wallet Recharge,
2115,First Wallet Recharge,
2114,First Wallet Recharge,
2113,Others,Recharged based on approval
2112,First Wallet Recharge,
2111,Others,Recharged based on approval
2110,First Wallet Recharge,
2109,Others,Recharged based on approval
2108,First Wallet Recharge,
2107,Others,Recharged based on approval
2106,First Wallet Recharge,
2105,Others,Recharged based on approval
2104,First Wallet Recharge,
2103,Others,Recharged based on approval
2102,First Wallet Recharge,
2101,Others,Recharged based on approval
2100,First Wallet Recharge,
2099,Others,Recharged based on approval
2098,First Wallet Recharge,
2097,First Wallet Recharge,
2096,Others,Recharged based on approval
2095,Others,Recharged based on approval
2094,First Wallet Recharge,
2093,First Wallet Recharge,
2092,Others,Recharged based on approval
2091,First Wallet Recharge,
2090,Others,Recharged based on approval
2089,First Wallet Recharge,
2088,Others,Recharged based on approval
2087,First Wallet Recharge,
2086,First Wallet Recharge,
2085,Others,Recharged based on approval
2084,First Wallet Recharge,
2083,Others,Recharged based on approval
2082,First Wallet Recharge,
2081,Others,Recharged based on approval
