Story_transaction_id,Story Id,Top Up Amount,Done By,Top Up Date,Story Name,Remarks,rid
3173,1492,50000,Abigale Cardoz ,2022-09-25 0:00:00,Shravanthi Palladium - Banshankari 6th Stage,First Wallet Recharge - ,1
3172,1491,100000,Abigale Cardoz ,2022-09-25 0:00:00,Laxmi Housing - Virar West,First Wallet Recharge - ,1
3171,1485,200000,Abigale Cardoz ,2022-09-24 0:00:00,Ruparel Panache - Santacruz West ,First Wallet Recharge - ,1
3170,1484,200000,Abigale Cardoz ,2022-09-24 0:00:00,Ruparel IRIS - Matunga ,First Wallet Recharge - ,1
3169,1483,200000,Abigale Cardoz ,2022-09-24 0:00:00,Ruparel Luminare - Dadar East,First Wallet Recharge - ,1
3165,1482,400000,Abigale Cardoz ,2022-09-24 0:00:00,"Paras Dews - Sector-106, Dwarka Expressway",First Wallet Recharge - 4L Wallet Created based on approval,1
3164,1481,40000,Abigale Cardoz ,2022-09-24 0:00:00,Citrus Zen Garden - Jakkur Road,First Wallet Recharge - ,1
3162,1480,30000,Abigale Cardoz ,2022-09-24 0:00:00,Citrus Earth Villa - Yelahanka,First Wallet Recharge - ,1
3161,1479,30000,Abigale Cardoz ,2022-09-24 0:00:00,Citrus Polaris - Hennur Road,First Wallet Recharge - ,1
3160,1478,50000,Abigale Cardoz ,2022-09-24 0:00:00,Laasya Eco Valley - Anekal-Thalli Road,First Wallet Recharge - ,1
3159,1477,50000,Abigale Cardoz ,2022-09-24 0:00:00,Laasya Mango Grove - Begur Koppa Road,First Wallet Recharge - ,1
3158,1476,50000,Abigale Cardoz ,2022-09-24 0:00:00,Laasya Pride - Electronic City,First Wallet Recharge - ,1
3151,1475,150000,Abigale Cardoz ,2022-09-24 0:00:00,Swanand Bliss - Ambernath East,First Wallet Recharge - ,1
3150,1474,50000,Abigale Cardoz ,2022-09-23 0:00:00,"Frontier Heights - Kasavanahalli, Hosa Road",First Wallet Recharge - ,1
3149,1473,250000,Abigale Cardoz ,2022-09-23 0:00:00,First Avenue - Malad West ,First Wallet Recharge - ,1
3148,1472,100000,Abigale Cardoz ,2022-09-23 0:00:00,OM Enclave - Kalyan West,First Wallet Recharge - ,1
3147,1471,50000,Abigale Cardoz ,2022-09-23 0:00:00,The Air - Chattarpur,First Wallet Recharge - ,1
3134,1470,100000,Abigale Cardoz ,2022-09-23 0:00:00,Srushti Raj Siddhi - Tilak Nagar,First Wallet Recharge - ,1
3132,1468,100000,Abigale Cardoz ,2022-09-22 0:00:00,Arihant Towers - Lower Parel,First Wallet Recharge - ,1
3124,1467,100000,Abigale Cardoz ,2022-09-21 0:00:00,Madhav Vatika - Palghar East ,First Wallet Recharge - 1L Transferred from Sai Mangalam,1
3121,1466,200000,Abigale Cardoz ,2022-09-21 0:00:00,Space Residence II - Mira Road East,First Wallet Recharge - ,1
3120,1465,500000,Abigale Cardoz ,2022-09-20 0:00:00,Engrace - Sompura Gate ,First Wallet Recharge - ,1
3125,1464,-100000,Abigale Cardoz ,2022-09-21 0:00:00,Sai Mangalam - Virar West ,Other - 1L Transferred to Madhav Vatika,2
3119,1464,200000,Abigale Cardoz ,2022-09-20 0:00:00,Sai Mangalam - Virar West ,First Wallet Recharge - ,1
3118,1463,100000,Abigale Cardoz ,2022-09-20 0:00:00,Parijat Heights - Nallasopara West,First Wallet Recharge - ,1
3117,1462,100000,Abigale Cardoz ,2022-09-20 0:00:00,K J Towers - Warje,First Wallet Recharge - ,1
3114,1458,50000,Abigale Cardoz ,2022-09-19 0:00:00,Future Sky - Panel West ,First Wallet Recharge - 50K Transferred from Swastik Towers,1
3111,1457,50000,Abigale Cardoz ,2022-09-18 0:00:00,83 Avenue - Sector 83,First Wallet Recharge - ,1
3146,1456,75000,Abigale Cardoz ,2022-09-23 0:00:00,18 & Oak - Off Sarjapur Attibele road,Top-up From Developer - ,2
3108,1456,10000,Abigale Cardoz ,2022-09-17 0:00:00,18 & Oak - Off Sarjapur Attibele road,First Wallet Recharge  - 10k Transferred from Soho & Sky ,1
3137,1455,100000,Abigale Cardoz ,2022-09-23 0:00:00,Assetz Marq - Whitefield,Top-up From Developer - ,2
3102,1455,10000,Abigale Cardoz ,2022-09-17 0:00:00,Assetz Marq - Whitefield,First Wallet Recharge  - 10k Transferred from Soho & Sky,1
3145,1454,75000,Abigale Cardoz ,2022-09-23 0:00:00,22 & Crest - Mahalakshmi Layout,Top-up From Developer - ,2
3101,1454,10000,Abigale Cardoz ,2022-09-17 0:00:00,22 & Crest - Mahalakshmi Layout,First Wallet Recharge  - 10k Transferred from Canvas & Cove,1
3144,1453,100000,Abigale Cardoz ,2022-09-23 0:00:00,Sun & Sanctum - KR Puram,Top-up From Developer - ,2
3100,1453,10000,Abigale Cardoz ,2022-09-17 0:00:00,Sun & Sanctum - KR Puram,First Wallet Recharge  - 10k Transferred from Canvas & Cove,1
3142,1452,75000,Abigale Cardoz ,2022-09-23 0:00:00,Soul & Soil  - Hennur Road,Top-up From Developer - ,2
3099,1452,10000,Abigale Cardoz ,2022-09-17 0:00:00,Soul & Soil  - Hennur Road,First Wallet Recharge  - Transferred from Earth & Essence Plots ,1
3138,1451,100000,Abigale Cardoz ,2022-09-23 0:00:00,63 Degree East - Off Sarjapur Road,Top-up From Developer - ,2
3098,1451,10000,Abigale Cardoz ,2022-09-17 0:00:00,63 Degree East - Off Sarjapur Road,First Wallet Recharge  - Transferred from Earth and Essence Row Houses ,1
3096,1450,500000,Abigale Cardoz ,2022-09-16 0:00:00,Sugee Shraddha - Dadar West,First Wallet Recharge - ,1
3095,1449,300000,Abigale Cardoz ,2022-09-16 0:00:00,Shivdooti Residency - Kalyan ,First Wallet Recharge - ,1
3094,1448,500000,Abigale Cardoz ,2022-09-16 0:00:00,Dosti Mezzo 22 - Sion East ,First Wallet Recharge - ,1
3093,1447,1000000,Abigale Cardoz ,2022-09-15 0:00:00,Saarrthi Codename 1873 - Balewadi,First Wallet Recharge - ,1
3092,1446,180000,Abigale Cardoz ,2022-09-15 0:00:00,Rodium Xline - Kandivali West,First Wallet Recharge - ,1
3091,1445,100000,Abigale Cardoz ,2022-09-15 0:00:00,Dignity Divine - Wadala ,First Wallet Recharge - ,1
3090,1444,200000,Abigale Cardoz ,2022-09-15 0:00:00,Krishna Dham - Badlapur,First Wallet Recharge - ,1
3089,1443,100000,Abigale Cardoz ,2022-09-15 0:00:00,Deccan Habitat  - Yeswanthpur,First Wallet Recharge - ,1
3088,1442,50000,Abigale Cardoz ,2022-09-15 0:00:00,Rohan Anand - Somatane Phata,First Wallet Recharge  - 50k transferred from Rohan Ananta - Tathawade,1
3087,1441,100000,Abigale Cardoz ,2022-09-15 0:00:00,Bramhacorp Townhouse - Balewadi,First Wallet Recharge - ,1
3086,1440,100000,Abigale Cardoz ,2022-09-15 0:00:00,Majestique Memories  - Mohammedwadi,First Wallet Recharge - ,1
3085,1439,100000,Abigale Cardoz ,2022-09-15 0:00:00,Majestique Mrugavarsha - Dhayari,First Wallet Recharge - ,1
3084,1438,50000,Abigale Cardoz ,2022-09-15 0:00:00,Skr Gardens - Electronic City,First Wallet Recharge - ,1
3083,1437,150000,Abigale Cardoz ,2022-09-14 0:00:00,Vicinia - Powai ,First Wallet Recharge - 1.5L Transferred from Skyraa ,1
3082,1436,200000,Abigale Cardoz ,2022-09-14 0:00:00,Route 65 - Sector 65,First Wallet Recharge - ,1
3081,1435,200000,Abigale Cardoz ,2022-09-14 0:00:00,Arka Irish Grand - Chandapura,First Wallet Recharge - ,1
3080,1434,300000,Abigale Cardoz ,2022-09-14 0:00:00,Prithvi Presidio - Haveli,First Wallet Recharge - ,1
3079,1433,100000,Abigale Cardoz ,2022-09-14 0:00:00,Parinee Aria - Juhu,First Wallet Recharge - ,1
3078,1432,150000,Abigale Cardoz ,2022-09-14 0:00:00,93 East - Andheri East,First Wallet Recharge - ,1
3075,1431,500000,Abigale Cardoz ,2022-09-13 0:00:00,Devika Sadar Bazar - Dilli 6 ,First Wallet Recharge - ,1
3076,1430,100000,Abigale Cardoz ,2022-09-13 0:00:00,Sai Purab - Kalyan West,First Wallet Recharge - ,1
3077,1429,215000,Abigale Cardoz ,2022-09-13 0:00:00,Spt Silverwoods - Yelahanka,First Wallet Recharge - ,1
3074,1428,177000,Abigale Cardoz ,2022-09-13 0:00:00,Snehasparsh Residency - Moshi,First Wallet Recharge - ,1
3073,1427,15100,Abigale Cardoz ,2022-09-13 0:00:00,Codename 77 Crossroads - Ghatkopar,First Wallet Recharge  - 15100 Transferred from Codename Zen ,1
3071,1426,250000,Abigale Cardoz ,2022-09-13 0:00:00,Premier - Chembur East,First Wallet Recharge - ,1
3065,1425,500000,Abigale Cardoz ,2022-09-10 0:00:00,Dosti Eastern Bay - New Wadala ,First Wallet Recharge - Advance top up based on approval,1
3064,1424,100000,Abigale Cardoz ,2022-09-10 0:00:00,Boulevard Commerz - Sus,First Wallet Recharge - ,1
3060,1423,300000,Abigale Cardoz ,2022-09-09 0:00:00,Codename Zero - Dapodi ,First Wallet Recharge - ,1
3136,1422,100000,Abigale Cardoz ,2022-09-23 0:00:00,Soho & Sky - Jakkur,Top-up From Developer - ,4
3109,1422,-10000,Abigale Cardoz ,2022-09-17 0:00:00,Soho & Sky - Jakkur,Other - 10k Transferred to 18 & Oak,3
3107,1422,-10000,Abigale Cardoz ,2022-09-17 0:00:00,Soho & Sky - Jakkur,Other - 10k Transferred to Assetz Marq,2
3058,1422,40000,Abigale Cardoz ,2022-09-09 0:00:00,Soho & Sky - Jakkur,First Wallet Recharge - 40k Transferred from Earth & Essence Plots & Row Houses (20k each) ,1
3055,1421,500000,Abigale Cardoz ,2022-09-09 0:00:00,Unique Exotica - Dadar East ,First Wallet Recharge - ,1
3051,1420,200000,Abigale Cardoz ,2022-09-09 0:00:00,Konig Orange County - Whitefield,First Wallet Recharge - ,1
3050,1419,100000,Abigale Cardoz ,2022-09-09 0:00:00,Elitas - Kothrud,First Wallet Recharge - ,1
3049,1418,500000,Abigale Cardoz ,2022-09-09 0:00:00,Vishwa Sangam - Ghatkopar East,First Wallet Recharge - ,1
3047,1417,500000,Abigale Cardoz ,2022-09-09 0:00:00,Northern Lights Skyraa - Thane West ,First Wallet Recharge - ,1
3046,1416,100000,Abigale Cardoz ,2022-09-09 0:00:00,Omkar Planet - Nerul ,First Wallet Recharge - ,1
3045,1415,100000,Abigale Cardoz ,2022-09-09 0:00:00,Neelkanth Luxuria - Taloja,First Wallet Recharge - ,1
3044,1414,275000,Abigale Cardoz ,2022-09-09 0:00:00, Svamitva Terravana - Kanakapura Road,First Wallet Recharge - ,1
3043,1413,275000,Abigale Cardoz ,2022-09-09 0:00:00,Svamitva Emerald Square - Hosur Road ,First Wallet Recharge - ,1
3042,1412,166666,Abigale Cardoz ,2022-09-09 0:00:00,Svamitva Floresta - Kanakapura Road,First Wallet Recharge - ,1
3041,1411,100000,Abigale Cardoz ,2022-09-08 0:00:00,Swojas One  - Kothrud,First Wallet Recharge - ,1
3040,1410,118000,Abigale Cardoz ,2022-09-08 0:00:00,Ambrosia Alley - Hadapsar,First Wallet Recharge - ,1
3039,1409,300000,Abigale Cardoz ,2022-09-08 0:00:00,The Address - Moshi,First Wallet Recharge - ,1
3038,1408,100000,Abigale Cardoz ,2022-09-08 0:00:00,Ansal Versalia - Sector 67a,First Wallet Recharge - ,1
